name,formula,ile_miRNA
feseR_combineFS_RF,Class ~ hsa.let.7b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.miR.17.5p + hsa.miR.375.3p,7
feseR_combineFS_RF_SMOTE,Class ~ hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,8
fcfsSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.320b + hsa.let.7b.5p + hsa.miR.139.3p + hsa.miR.30d.5p + hsa.miR.106b.5p + hsa.miR.19b.3p + hsa.miR.1304.3p + hsa.miR.421 + hsa.miR.17.5p,10
fcfs_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.miR.320b + hsa.let.7b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.106b.5p,7
fcfsSMOTE_sig,Class ~ hsa.miR.20b.5p + hsa.miR.320b + hsa.let.7b.5p + hsa.miR.139.3p + hsa.miR.30d.5p + hsa.miR.106b.5p + hsa.miR.19b.3p + hsa.miR.1304.3p + hsa.miR.421 + hsa.miR.17.5p,10
fwrap,Class ~ hsa.miR.1273h.3p + hsa.miR.182.5p + hsa.miR.20b.5p + hsa.miR.320b,4
fwrapSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.421 + hsa.miR.139.3p,3
fwrap_sig,Class ~ hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.182.5p + hsa.miR.106b.5p + hsa.miR.134.5p,5
fwrapSMOTE_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.miR.106b.5p + hsa.miR.4433a.3p + hsa.miR.500a.3p + hsa.miR.485.3p + hsa.miR.1273h.3p,7
AUC_MDL,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.182.5p + hsa.miR.421 + hsa.miR.375.3p,10
SU_MDL,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.139.3p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.17.5p + hsa.miR.106b.5p + hsa.miR.421 + hsa.miR.182.5p,10
CorrSF_MDL,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.miR.320b + hsa.let.7b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.106b.5p,7
sigtop,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.17.5p + hsa.miR.139.3p + hsa.miR.182.5p + hsa.miR.106b.5p + hsa.miR.375.3p,10
sigtopBonf,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.17.5p + hsa.miR.139.3p + hsa.miR.182.5p + hsa.miR.106b.5p + hsa.miR.375.3p,10
sigtopHolm,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.17.5p + hsa.miR.139.3p + hsa.miR.182.5p + hsa.miR.106b.5p + hsa.miR.375.3p,10
topFC,Class ~ hsa.miR.20b.5p + hsa.miR.375.3p + hsa.miR.106b.5p + hsa.miR.19b.3p + hsa.miR.134.5p + hsa.miR.17.5p + hsa.miR.320b + hsa.miR.139.3p + hsa.miR.4433a.3p + hsa.miR.4433b.5p,10
sigtopSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.17.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.182.5p + hsa.miR.106b.5p + hsa.miR.375.3p,10
sigtopBonfSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.17.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.182.5p + hsa.miR.106b.5p + hsa.miR.375.3p,10
sigtopHolmSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.17.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.182.5p + hsa.miR.106b.5p + hsa.miR.375.3p,10
topFCSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.106b.5p + hsa.miR.375.3p + hsa.miR.19b.3p + hsa.miR.134.5p + hsa.miR.17.5p + hsa.miR.320b + hsa.miR.139.3p + hsa.miR.493.5p + hsa.miR.182.5p,10
AUC_MDLSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.139.3p + hsa.miR.30d.5p + hsa.miR.17.5p + hsa.miR.182.5p + hsa.miR.421 + hsa.miR.375.3p,10
SU_MDLSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.139.3p + hsa.miR.106b.5p + hsa.miR.17.5p + hsa.miR.30d.5p + hsa.miR.421 + hsa.miR.182.5p,10
CorrSF_MDLSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.320b + hsa.let.7b.5p + hsa.miR.139.3p + hsa.miR.30d.5p + hsa.miR.106b.5p + hsa.miR.19b.3p + hsa.miR.1304.3p + hsa.miR.421 + hsa.miR.17.5p,10
AUC_MDL_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.182.5p + hsa.miR.421 + hsa.miR.375.3p,10
SU_MDL_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.139.3p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.17.5p + hsa.miR.106b.5p + hsa.miR.421 + hsa.miR.182.5p,10
CorrSF_MDL_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.miR.320b + hsa.let.7b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.106b.5p,7
AUC_MDLSMOTE_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.139.3p + hsa.miR.30d.5p + hsa.miR.17.5p + hsa.miR.182.5p + hsa.miR.421 + hsa.miR.375.3p,10
SU_MDLSMOTE_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.139.3p + hsa.miR.106b.5p + hsa.miR.17.5p + hsa.miR.30d.5p + hsa.miR.421 + hsa.miR.182.5p,10
CorrSF_MDLSMOTE_sig,Class ~ hsa.miR.20b.5p + hsa.miR.320b + hsa.let.7b.5p + hsa.miR.139.3p + hsa.miR.30d.5p + hsa.miR.106b.5p + hsa.miR.19b.3p + hsa.miR.1304.3p + hsa.miR.421 + hsa.miR.17.5p,10
fcsig,Class ~ hsa.miR.20b.5p + hsa.miR.106b.5p + hsa.miR.375.3p,3
fcsigSMOTE,Class ~ hsa.miR.20b.5p + hsa.miR.106b.5p,2
RandomForestRFE,Class ~ hsa.miR.320b + hsa.let.7b.5p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.19b.3p + hsa.miR.139.3p + hsa.miR.375.3p + hsa.miR.17.5p + hsa.miR.1304.3p + hsa.miR.106b.5p,10
RandomForestRFE_sig,Class ~ hsa.miR.320b + hsa.let.7b.5p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.19b.3p + hsa.miR.139.3p + hsa.miR.375.3p + hsa.miR.17.5p + hsa.miR.106b.5p + hsa.miR.1304.3p,10
RandomForestRFESMOTE_sig,Class ~ hsa.miR.320b + hsa.let.7b.5p + hsa.miR.30d.5p + hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.miR.139.3p + hsa.miR.375.3p + hsa.miR.1304.3p + hsa.miR.106b.5p,9
cfs,Class ~ hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.106b.5p + hsa.miR.30d.5p + hsa.miR.20b.5p + hsa.miR.320b + hsa.miR.139.3p,7
cfsSMOTE,Class ~ hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.106b.5p + hsa.miR.17.5p + hsa.miR.1304.3p + hsa.miR.30d.5p + hsa.miR.20b.5p + hsa.miR.421 + hsa.miR.320b + hsa.miR.139.3p,10
cfs_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.106b.5p,7
cfsSMOTE_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.17.5p + hsa.miR.139.3p + hsa.miR.106b.5p + hsa.miR.421 + hsa.miR.1304.3p,10
SimulatedAnnealingRF,Class ~ hsa.miR.19b.3p + hsa.miR.134.5p + hsa.miR.182.5p + hsa.miR.20b.5p + hsa.miR.421 + hsa.miR.375.3p,6
SimulatedAnnealingRFSMOTE,Class ~ hsa.miR.485.3p + hsa.let.7b.5p + hsa.miR.134.5p + hsa.miR.1304.3p + hsa.miR.4433b.5p + hsa.miR.139.3p,6
SimulatedAnnealingRF_sig,Class ~ hsa.miR.182.5p + hsa.miR.106b.5p + hsa.miR.421 + hsa.miR.134.5p + hsa.miR.4433a.3p + hsa.miR.4433b.5p + hsa.miR.485.3p + hsa.miR.1304.3p,8
SimulatedAnnealingRFSMOTE_sig,Class ~ hsa.miR.20b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.1273h.3p,4
spFSR,Class ~ hsa.let.7b.5p + hsa.miR.320b + hsa.miR.106b.5p + hsa.miR.17.5p + hsa.miR.30d.5p + hsa.miR.375.3p + hsa.miR.1304.3p + hsa.miR.20b.5p + hsa.miR.485.3p + hsa.miR.139.3p,10
Mystepwise_glm_binomial,Class ~ hsa.miR.19b.3p + hsa.miR.4433a.3p + hsa.let.7b.5p + hsa.miR.106b.5p + hsa.miR.1304.3p + hsa.miR.30d.5p + hsa.miR.320b + hsa.miR.375.3p,8
Mystepwise_sig_glm_binomial,Class ~ hsa.miR.19b.3p + hsa.miR.4433a.3p + hsa.let.7b.5p + hsa.miR.106b.5p + hsa.miR.1304.3p + hsa.miR.30d.5p + hsa.miR.320b + hsa.miR.375.3p,8
ElasticNet,Class ~ hsa.let.7b.5p + hsa.miR.30d.5p + hsa.miR.320b + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.1304.3p + hsa.miR.139.3p + hsa.miR.375.3p,8
classloop_sig,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.let.7b.5p + hsa.miR.320b + hsa.miR.30d.5p + hsa.miR.17.5p + hsa.miR.139.3p + hsa.miR.182.5p + hsa.miR.375.3p + hsa.miR.421,10
fcfs,Class ~ hsa.miR.20b.5p + hsa.miR.19b.3p + hsa.miR.320b + hsa.let.7b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.106b.5p,7
